Attribute,Index,Dirty Value,Cleaned Value
article_title,119,Effet d'une intervention non m̩dicamenteuse Voix d'Or� sur les troubles du comportement dans la maladie d'Alzheimer ou une maladie apparent̩e. [Effect of a non-pharmacological intervention Voix d'Or� on behavior disturbances in Alzheimer disease and associated disorders.],Effet d'une intervention non mdicamenteuse Voix d'Or sur les troubles du comportement dans la maladie d'Alzheimer ou une maladie apparente. [Effect of a non-pharmacological intervention Voix d'Or on behavior disturbances in Alzheimer disease and associated disorders.]
article_title,134, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
article_title,173,Association of transforming growth factor-�_1���T869C G915C and C509T gene polymorphisms with rheumatoid arthritis risk.,Association of transforming growth factor-_1T869C G915C and C509T gene polymorphisms with rheumatoid arthritis risk.
article_title,340,A controlled trial of anterior spinal fusion and d̩bridement in the surgical management of tuberculosis of the spine in patients on standard chemotherapy: a study in two centres in South Africa. Seventh Report of the Medical Research Council Working Party on tuberculosis of the spine,A controlled trial of anterior spinal fusion and dbridement in the surgical management of tuberculosis of the spine in patients on standard chemotherapy: a study in two centres in South Africa. Seventh Report of the Medical Research Council Working Party on tuberculosis of the spine
article_title,417,Safety and efficacy of weekly nab���-paclitaxel in combination with carboplatin as first-line therapy in elderly patients with advanced non-small-cell lung cancer.,Safety and efficacy of weekly nab-paclitaxel in combination with carboplatin as first-line therapy in elderly patients with advanced non-small-cell lung cancer.
article_title,533,The parvalbumin-positive interneurons in the mouse dentate gyrus express GABAA receptor subunits �1 �_2 and � along their extrasynaptic cell membrane.,The parvalbumin-positive interneurons in the mouse dentate gyrus express GABAA receptor subunits 1 _2 and  along their extrasynaptic cell membrane.
article_title,608,Optical turbulence: weak turbulence condensates and collapsing filaments in the nonlinear Schr̦dinger equation,Optical turbulence: weak turbulence condensates and collapsing filaments in the nonlinear Schrdinger equation
article_title,670,Constructing differences: A qualitative analysis of teachers�۪ perspectives on linguistic and cultural diversity,Constructing differences: A qualitative analysis of teachers perspectives on linguistic and cultural diversity
article_title,702,Lung function efficacy of olodaterol qd delivered via respimat� vs placebo and formoterol bid in patients with COPD: two 48-week studies [Abstract],Lung function efficacy of olodaterol qd delivered via respimat vs placebo and formoterol bid in patients with COPD: two 48-week studies [Abstract]
article_title,797,Bruxismo em crian̤as Bruxism in children,Bruxismo em crianas Bruxism in children
article_title,857,The Antiseptic Efficacy and Tolerability of Lavasept� 04% on Acute Traumatic Wounds,The Antiseptic Efficacy and Tolerability of Lavasept 04% on Acute Traumatic Wounds
article_title,882,Effects on prolongation of Bazett�۪s corrected QT interval of seven second-generation antipsychotics in the treatment of schizophrenia: A meta-analysis,Effects on prolongation of Bazetts corrected QT interval of seven second-generation antipsychotics in the treatment of schizophrenia: A meta-analysis
article_title,953,Preval̻ncia de bruxismo e dist̼rbio do sono em deficientes visuais Prevalence of bruxism and sleep disorders in the visually impaired individuals,Prevalncia de bruxismo e distrbio do sono em deficientes visuais Prevalence of bruxism and sleep disorders in the visually impaired individuals
article_title,966,18F-flumazenil: a �_-aminobutyric acid A-specific PET radiotracer for the localization of drug-resistant temporal lobe epilepsy.,18F-flumazenil: a _-aminobutyric acid A-specific PET radiotracer for the localization of drug-resistant temporal lobe epilepsy.
article_title,980,Mild endoplasmic reticulum stress augments the proinflammatory effect of IL-1�_ in pancreatic rat �_-cells via the IRE1�/XBP1s pathway.,Mild endoplasmic reticulum stress augments the proinflammatory effect of IL-1_ in pancreatic rat _-cells via the IRE1/XBP1s pathway.
journal_title,16,British Journal of Dermatology. ,British Journal of Dermatology.
journal_title,119,G̩riatrie et Psychologie Neuropsychiatrie du Vieillissement,Griatrie et Psychologie Neuropsychiatrie du Vieillissement
journal_title,134, BMJ 2006 333:939,BMJ 2006 333:939
journal_title,159,Paliativn�_ Schanzova osteotomie p��i nereponibiln�_ luxaci ky��eln�_ho kloubu u pacient�� s d��tskou mozkovou obrnou v adolescentn�_m v��u,Paliativn_ Schanzova osteotomie pi nereponibiln_ luxaci kyeln_ho kloubu u pacient s dtskou mozkovou obrnou v adolescentn_m vu
journal_title,238,Schlafsțrungen bei kritisch kranken patienten,Schlafstrungen bei kritisch kranken patienten
journal_title,323,Actas espa̱olas de psiquiatr�_a,Actas espaolas de psiquiatr_a
journal_title,393,Cirug�_a Pedi��trica: Organo Oficial De La Sociedad Espa̱ola De Cirug�_a Pedi��trica,Cirug_a Peditrica: Organo Oficial De La Sociedad Espaola De Cirug_a Peditrica
journal_title,456,Nowoczesne biomateria��y jako opatrunki hemostatyczne w chirurgii oszczedzajacej miazsz nerki--model zwierzecy. Doniesienie wstepne.,Nowoczesne biomateriay jako opatrunki hemostatyczne w chirurgii oszczedzajacej miazsz nerki--model zwierzecy. Doniesienie wstepne.
journal_title,609,Zeitschrift f��r Erkrankungen der Atmungsorgane mit Folia bronchologica,Zeitschrift fr Erkrankungen der Atmungsorgane mit Folia bronchologica
journal_title,771,Pr̩vention de l'insuffisance r̩nale induite par les produits de contrnste iodes,Prvention de l'insuffisance rnale induite par les produits de contrnste iodes
journal_title,788,Stomatologii��a,Stomatologiia
journal_issn,19,Jan-68,68-Jan
journal_issn,37,0025-7931,1423-0356
journal_issn,121,Mar-22,22-Mar
journal_issn,131,Feb-14,14-Feb
journal_issn,132,Feb-37,37-Feb
journal_issn,159,Jan-15,15-Jan
journal_issn,178,1930-7381,1930-739X
journal_issn,218,1462-8910,1463-1318
journal_issn,236,Jan-47,47-Jan
journal_issn,238,Mar-17,17-Mar
journal_issn,392,Feb-62,62-Feb
journal_issn,435,Feb-65,65-Feb
journal_issn,441,Feb-14,14-Feb
journal_issn,508,Nov-53,53-Nov
journal_issn,617,0903-1936,1399-3003
journal_issn,643,1525-1446,0737-1209
journal_issn,644,1524-4539,22-Sep
journal_issn,645,Jan-55,55-Jan
journal_issn,659,1524-4628,0039-2499
journal_issn,675,Jan-14,14-Jan
journal_issn,691,Sep-60,60-Sep
journal_issn,741,Apr-74,74-Apr
journal_issn,746,Sep-22,22-Sep
journal_issn,747,Mar-67,67-Mar
journal_issn,849,Mar-67,67-Mar
journal_issn,853,Sep-22,22-Sep
journal_issn,858,Sep-22,22-Sep
journal_issn,901,Mar-22,22-Mar
journal_issn,915,1099-1611,1057-9249
journal_issn,919,Mar-09,09-Mar
journal_issn,984,Feb-65,65-Feb
journal_issn,991,Feb-65,65-Feb
article_jvolumn,2,empty,-1
article_jvolumn,110,empty,-1
article_jvolumn,182,empty,-1
article_jvolumn,197,empty,-1
article_jvolumn,210,empty,-1
article_jvolumn,313,empty,-1
article_jvolumn,324,empty,-1
article_jvolumn,341,empty,-1
article_jvolumn,357,empty,-1
article_jvolumn,361,empty,-1
article_jvolumn,446,empty,-1
article_jvolumn,523,empty,-1
article_jvolumn,534,empty,-1
article_jvolumn,550,empty,-1
article_jvolumn,551,empty,-1
article_jvolumn,643,empty,-1
article_jvolumn,769,empty,-1
article_jvolumn,792,empty,-1
article_jvolumn,862,empty,-1
article_jvolumn,867,empty,-1
article_jvolumn,888,empty,-1
article_jvolumn,998,empty,-1
article_jissue,2,empty,-1
article_jissue,17,empty,-1
article_jissue,34,empty,-1
article_jissue,48,empty,-1
article_jissue,56,empty,-1
article_jissue,65,empty,-1
article_jissue,66,empty,-1
article_jissue,123,empty,-1
article_jissue,158,empty,-1
article_jissue,176,empty,-1
article_jissue,182,empty,-1
article_jissue,197,empty,-1
article_jissue,198,empty,-1
article_jissue,201,empty,-1
article_jissue,210,empty,-1
article_jissue,238,empty,-1
